episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -3923.3600894184783, 2, 27.58097844400072, 1612, 25060,                                             25060, 0.0, 16650.138671875
2, -2322.223415993154, 3, 25.576950258999204, 1395, 26455,                                             26455, 0.0, 18720.169921875
3, -4212.23883383775, 2, 20.95304037800088, 1142, 27597,                                             27597, 0.0, 19143.59375
4, -10331.012734724209, 2, 32.3843992029997, 1757, 29354,                                             29354, 0.0, 21418.47265625
5, -1318.0816441352363, 4, 42.41134117799993, 2313, 31667,                                             31667, 0.0, 22194.02734375
6, -4676.363061988144, 2, 13.132003636001173, 712, 32379,                                             32379, 0.0, 19798.5625
7, 3894.8876729011536, 1, 3.1249085729996295, 168, 32547,                                             32547, 0.0, 23286.447265625
8, -4135.276571963535, 3, 16.135657258999345, 881, 33428,                                             33428, 0.0, 20445.51953125
9, -6300.132655107416, 2, 33.387900175999675, 1809, 35237,                                             35237, 0.0, 20891.611328125
10, -6316.15643556451, 2, 16.55152045000068, 908, 36145,                                             36145, 0.0, 22418.0859375
11, -4875.434580515517, 2, 28.16310118199908, 1530, 37675,                                             37675, 0.0, 20523.275390625
12, -4154.770301031414, 3, 14.347652869999365, 774, 38449,                                             38449, 0.0, 20204.087890625
13, -4165.194062970579, 3, 29.776036470999315, 1613, 40062,                                             40062, 0.0, 22854.021484375
14, -6356.388981344644, 2, 22.767057174, 1231, 41293,                                             41293, 0.0, 21799.755859375
15, -4373.8366044674185, 2, 16.354724204000377, 883, 42176,                                             42176, 0.0, 21234.322265625
16, -879.8742454133462, 4, 38.591933016999974, 2102, 44278,                                             44278, 0.0, 21412.427734375
17, -3559.15332537653, 2, 26.5631370480005, 1432, 45710,                                             45710, 0.0, 18958.173828125
18, 3579.3684418201447, 1, 0.9052301840001746, 30, 45740,                                             45740, 0.0, 19113.263671875
19, -4197.372852620436, 2, 34.40118006299963, 1870, 47610,                                             47610, 0.0, 21474.7421875
20, -4144.263624873362, 2, 21.769283919000372, 1180, 48790,                                             48790, 0.0, 18781.87890625
21, -4483.869510745048, 3, 16.53989759199976, 882, 49672,                                             49672, 0.0, 18879.57421875
22, -2180.2246990676504, 3, 24.37294643899986, 1321, 50993,                                             50993, 0.0, 23998.431640625
23, -5359.384170127101, 2, 23.572867210999902, 1276, 52269,                                             52269, 0.0, 21568.2734375
24, -4847.449464310193, 2, 15.73962414199923, 843, 53112,                                             53112, 0.0, 20110.33203125
25, -4400.104620611295, 2, 14.349022438998873, 780, 53892,                                             53892, 0.0, 18376.46875
26, -4120.502313151956, 3, 16.95759939600066, 920, 54812,                                             54812, 0.0, 18541.53125
27, -3630.261255950667, 3, 16.743425874001332, 893, 55705,                                             55705, 0.0, 23724.470703125
